Downloading MSMARCO Passage Retrieval
File /Users/doug/ws/psuedorelevance-feedback/.venv/lib/python3.12/site-packages/data/msmarco/collectionandqueries.tar.gz already exists, skipping download.
doc_id,bm25_score,doc_weight,num_matches,bm25_prop,doc_weight_prop,title
7639949,65.6725,1593.3328,5,0.128637,0.174096,"649 Farmers Hall Rd, Champlain, VA 22438 22438, Champlain, Clinton County, NY This 1296 square foot mobile / manufactured home has 3 bedrooms and 2.0 bathrooms. It is located at 649 farmers hall rd champlain, virginia."
1751359,52.7624,934.5992,6,0.103349,0.102119,"What is the County Seat of Lunenburg County, VA? The County Seat is located in Lunenburg also, the county government website is lunenburgva.org/ . What counties are adjacent to Lunenburg County, VA? Bordering Counties are Prince Edward County, Nottoway County, Brunswick County, Mecklenburg County, Charlotte County."
7639947,52.5731,964.1406,5,0.102978,0.105347,"Champlain is also known as: Champlain. Champlain is an unincorporated community in Essex County, Virginia, United States. It lies at the junction of U.S. Route 17 and Route 631. It is located mainly in a rural community.Champlain's zip code is 22438.The Glebe House of St. Anne's Parish, St. Matthew's Church, and Linden are listed on the National Register of Historic Places. Population shifts in Champlain"
6029790,51.5300,945.0121,5,0.100935,0.103257,"Sudbury and Benson are within Rutland County. To the west, across Lake Champlain, are the town of Putnam, New York, in Washington County, and Ticonderoga, New York, in Essex County. Mount Independence, elevation 306 feet (93 m), is located in northwest Orwell, overlooking Lake Champlain and the town of Ticonderoga."
7639945,49.6680,910.8650,5,0.097288,0.099526,"Champlain, Virginia. Champlain is an unincorporated community in Essex County, Virginia, United States. It lies at the junction of U.S. Route 17 and Route 631. It is located mainly in a rural community. Champlain's zip code is 22438. The Glebe House of St. Anne's Parish, St. Matthew's Church, and Linden are listed on the National Register of Historic Places. References"
370569,48.8806,729.4255,5,0.095745,0.079701,"Griffith Valley Ln, Woolwine, VA 24185 - Patrick County Fishing and Hunting Land for Sale, Patrick County VA! Rock Castle Creek is a cold water native trout stream located in Woolwine, VA of Patrick County VA and it flows right through the middle of 63.5 acres of wooded land for sale. This property is located between Stuart VA and Floyd VA in a private location."
7639943,48.8381,870.8155,4,0.095662,0.095150,"22438, Champlain, Clinton County, NY This 1456 square foot mobile / manufactured home has 3 bedrooms and 2.0 bathrooms. It is located at 395 daingerfield lndg champlain, virginia."
1065098,47.5409,842.1095,6,0.093121,0.092013,"What county is Norfolk, Va. A: Norfolk, Va. is not located in a county. Norfolk is an independent city; its city government is run by a city manager and a city council elected to represent the city's districts, rather than by a county government. Continue Reading. Credit: Matt Davis CC-BY-SA 2.0."
6400883,46.5994,668.4017,4,0.091277,0.073033,"1 Lake Champlain Lake Champlain is a freshwater lake located in North America. 2  It runs through northwest Vermont, northeast New York, and the southern area of Quebec, Canada. 3  Lake Champlain iâ¦. Vermonâ¦. 2  Lake Champlain Lake Champlain is a freshwater lake located in North America. 3  It runs through northwest Vermont, northeast New York, and the southern area of Quebec, Canada."
5938695,46.4612,693.3224,5,0.091007,0.075756,"Zip Code 22042 Politics. 22042 is located in the state of Virginia in the Washington D.C. metro area. Zip code 22042 is primarily located in Fairfax County. The official postal service name used for 22042 is FALLS CHURCH, Virginia.Portions of the 22042 zip code are contained within or border the city limits of Jefferson, VA, Annandale, VA, Merrifield, VA, Idylwood, VA, Falls Church, VA, and Lake Barcroft, VA.ip Code 22042 Politics. 22042 is located in the state of Virginia in the Washington D.C. metro area. Zip code 22042 is primarily located in Fairfax County. The official postal service name used for 22042 is FALLS CHURCH, Virginia."
TOTAL,510.5261,9152.0244,,,,
